"GeneSymbol","Median","HL","LASSO","BestModel"
"GRSF1",8044.88376671647,7983.2752930043,7989.18608964834,"HL"
"GRWD1",7321.41406095016,7284.09668461356,7334.95494350146,"HL"
"GSDMD",7610.18243842456,7454.76041884025,7396.19730106555,"LASSO"
"GSDME",7967.02315371892,7786.49088354399,7754.17776435296,"LASSO"
"GSK3A",6733.3938416332,6680.15577893103,6676.9505392312,"LASSO"
"GSK3B",6929.2779451523,6877.21763438978,6875.26680046533,"LASSO"
"GSN",9650.43574353296,9509.83433519988,9392.49441769038,"LASSO"
"GSPT1",8066.38252973951,8005.94715528877,7995.89096722088,"LASSO"
"GSPT2",7659.07454204528,7499.44876214049,7480.05195844341,"LASSO"
"GSR",8743.20273350807,8369.6223027816,8369.66925259042,"HL"
"GSS",8103.7181053493,7935.05218962547,7980.01999598479,"HL"
"GSTCD",6363.580459023,6320.07968903501,6289.46668487422,"LASSO"
"GSTK1",7586.24357557102,7342.94210698818,NA,"HL"
"GSTM2",8520.3788867162,8197.91355590148,8190.42892090478,"LASSO"
"GSTM3",8527.59943800889,8380.63208530355,8318.47269477551,"LASSO"
"GSTM4",6920.8447705505,6758.6426408978,6741.24890337879,"LASSO"
"GSTO1",9277.10216231323,9012.19150652182,9011.40662608201,"LASSO"
"GSTP1",9461.32561725595,9280.37869493786,9309.27789027379,"HL"
"GTF2A1",6567.69997007293,6536.94018932628,6505.35591076658,"LASSO"
"GTF2A2",6471.56410212888,6474.08872154281,6485.72675453641,"Median"
"GTF2B",5469.60502719909,5388.42056161578,5376.50033837482,"LASSO"
"GTF2E1",6068.41517723496,6008.09973275316,6072.87635865065,"HL"
"GTF2E2",6103.62641357328,6065.1784359571,6069.03431430178,"HL"
"GTF2F1",7113.91031988808,7081.05979960949,7107.35762570394,"HL"
"GTF2F2",7602.50458847016,7592.10364926847,7553.31277832045,"LASSO"
"GTF2H1",5172.6155188957,5149.38050573536,5174.71894329702,"HL"
"GTF2I",7980.47046377299,7864.88196700553,7856.61423686059,"LASSO"
"GTF3C1",6866.85793012893,6860.16652562768,7017.48444567724,"HL"
"GTF3C2",5599.38824001174,5575.73081207142,5780.3206436121,"HL"
"GTF3C3",5973.26270317752,5985.19209360946,6102.66609491489,"Median"
"GTF3C4",6404.37684101717,6364.53602638877,6468.21681988593,"HL"
"GTF3C5",6421.494488418,6411.20198772611,6415.17965342853,"HL"
"GTPBP1",6638.43041789405,6562.13029224293,6623.11013316938,"HL"
"GTPBP10",5686.19024588769,5676.94898034752,5733.62408480196,"HL"
"GTPBP4",7873.5087606613,7865.38650119238,7986.30463288224,"HL"
"GTPBP6",5780.59875745801,5727.4432016966,5825.43028112361,"HL"
"GUF1",5941.44068853404,5891.36824206806,6005.98367293869,"HL"
"GUK1",6924.59296555675,6825.42641527154,6852.44387550442,"HL"
"GULP1",8043.67420502048,7812.38954115447,7887.7153326657,"HL"
"GXYLT1",6338.45260970926,6221.11295773449,6213.82357017445,"LASSO"
"GYG1",8014.99458708912,7707.16293844977,7805.16624106594,"HL"
"GYS1",7643.26803864185,7495.48138420336,7549.04171937652,"HL"
"H1-0",8171.47769827022,8005.35857566932,7997.12353863788,"LASSO"
"H1-10",7536.36650290364,7412.21548669759,7401.42443585295,"LASSO"
"H1-2",6578.82158772778,6571.75136143139,6656.29725360591,"HL"
"H1-4",6905.55368911275,6903.77018068933,NA,"HL"
"H1-5",9246.59536048927,9230.90733309511,9219.98768913895,"LASSO"
"H2AC21",7543.58490452525,7549.14717989605,7538.9604075289,"LASSO"
"H2AX",5761.71490121999,5730.53896731623,5713.90624404657,"LASSO"
"H6PD",7070.48828865696,6973.6738089889,7022.28955450731,"HL"
"HABP4",6620.88294945671,6324.10478954773,6327.46966176504,"HL"
"HACD2",5698.45826860209,5650.77120520625,5645.44978630332,"LASSO"
"HACD3",7781.66309833917,7677.74335464241,7760.66829043661,"HL"
